dim_lokacija_sk,lokacija_id,lokacija_naziv,nivo,drzava,statisticna_regija,tip_destinacije
1,LOK_00001,Ajdovščina,OBCINA,Slovenija,,OSTALO
2,LOK_00002,Ankaran/Ancarano,OBCINA,Slovenija,,OBMORSKA
3,LOK_00003,Apače,OBCINA,Slovenija,,OSTALO
4,LOK_00004,Beltinci,OBCINA,Slovenija,,OSTALO
5,LOK_00005,Benedikt,OBCINA,Slovenija,,OSTALO
6,LOK_00006,Bistrica ob Sotli,OBCINA,Slovenija,,OSTALO
7,LOK_00007,Bled,OBCINA,Slovenija,,GORSKA
8,LOK_00008,Bloke,OBCINA,Slovenija,,OSTALO
9,LOK_00009,Bohinj,OBCINA,Slovenija,,GORSKA
10,LOK_00010,Borovnica,OBCINA,Slovenija,,OSTALO
11,LOK_00011,Bovec,OBCINA,Slovenija,,GORSKA
12,LOK_00012,Braslovče,OBCINA,Slovenija,,OSTALO
13,LOK_00013,Brda,OBCINA,Slovenija,,OSTALO
14,LOK_00014,Brezovica,OBCINA,Slovenija,,OSTALO
15,LOK_00015,Brežice,OBCINA,Slovenija,,OSTALO
16,LOK_00016,Cankova,OBCINA,Slovenija,,OSTALO
17,LOK_00017,Celje,OBCINA,Slovenija,,MESTNA
18,LOK_00018,Cerklje na Gorenjskem,OBCINA,Slovenija,,OSTALO
19,LOK_00019,Cerknica,OBCINA,Slovenija,,OSTALO
20,LOK_00020,Cerkno,OBCINA,Slovenija,,OSTALO
21,LOK_00021,Cerkvenjak,OBCINA,Slovenija,,OSTALO
22,LOK_00022,Cirkulane,OBCINA,Slovenija,,OSTALO
23,LOK_00023,Destrnik,OBCINA,Slovenija,,OSTALO
24,LOK_00024,Divača,OBCINA,Slovenija,,OSTALO
25,LOK_00025,Dobje,OBCINA,Slovenija,,OSTALO
26,LOK_00026,Dobrepolje,OBCINA,Slovenija,,OSTALO
27,LOK_00027,Dobrna,OBCINA,Slovenija,,OSTALO
28,LOK_00028,Dobrova - Polhov Gradec,OBCINA,Slovenija,,OSTALO
29,LOK_00029,Dobrovnik/Dobronak,OBCINA,Slovenija,,OSTALO
30,LOK_00030,Dol pri Ljubljani,OBCINA,Slovenija,,OSTALO
31,LOK_00031,Dolenjske Toplice,OBCINA,Slovenija,,OSTALO
