location_id,obcina,regija,tip_destinacije
1,Ajdovščina,OSTALO,OSTALO
2,Ankaran/Ancarano,OBMORSKA,OBMORSKA
3,Apače,OSTALO,OSTALO
4,Beltinci,OSTALO,OSTALO
5,Benedikt,OSTALO,OSTALO
6,Bistrica ob Sotli,OSTALO,OSTALO
7,Bled,GORSKA,GORSKA
8,Bloke,OSTALO,OSTALO
9,Bohinj,GORSKA,GORSKA
10,Borovnica,OSTALO,OSTALO
11,Bovec,GORSKA,GORSKA
12,Braslovče,OSTALO,OSTALO
13,Brda,OSTALO,OSTALO
14,Brezovica,OSTALO,OSTALO
15,Brežice,OSTALO,OSTALO
16,Cankova,OSTALO,OSTALO
17,Celje,MESTNA,MESTNA
18,Cerklje na Gorenjskem,OSTALO,OSTALO
19,Cerknica,OSTALO,OSTALO
20,Cerkno,OSTALO,OSTALO
21,Cerkvenjak,OSTALO,OSTALO
22,Cirkulane,OSTALO,OSTALO
23,Destrnik,OSTALO,OSTALO
24,Divača,OSTALO,OSTALO
25,Dobje,OSTALO,OSTALO
26,Dobrepolje,OSTALO,OSTALO
27,Dobrna,OSTALO,OSTALO
28,Dobrova - Polhov Gradec,OSTALO,OSTALO
29,Dobrovnik/Dobronak,OSTALO,OSTALO
30,Dol pri Ljubljani,OSTALO,OSTALO
31,Dolenjske Toplice,OSTALO,OSTALO
32,Domžale,OSTALO,OSTALO
33,Dornava,OSTALO,OSTALO
34,Dravograd,OSTALO,OSTALO
35,Duplek,OSTALO,OSTALO
36,Gorenja vas - Poljane,OSTALO,OSTALO
37,Gorišnica,OSTALO,OSTALO
38,Gorje,OSTALO,OSTALO
39,Gornja Radgona,OSTALO,OSTALO
40,Gornji Grad,OSTALO,OSTALO
41,Gornji Petrovci,OSTALO,OSTALO
42,Grad,OSTALO,OSTALO
43,Grosuplje,OSTALO,OSTALO
44,Hajdina,OSTALO,OSTALO
45,Hodoš/Hodos,OSTALO,OSTALO
46,Horjul,OSTALO,OSTALO
47,Hoče - Slivnica,OSTALO,OSTALO
48,Hrastnik,OSTALO,OSTALO
49,Hrpelje - Kozina,OSTALO,OSTALO
50,Idrija,OSTALO,OSTALO
51,Ig,OSTALO,OSTALO
52,Ilirska Bistrica,OSTALO,OSTALO
53,Ivančna Gorica,OSTALO,OSTALO
54,Izola/Isola,OBMORSKA,OBMORSKA
55,Jesenice,OSTALO,OSTALO
56,Jezersko,OSTALO,OSTALO
57,Juršinci,OSTALO,OSTALO
58,Kamnik,OSTALO,OSTALO
59,Kanal,OSTALO,OSTALO
60,Kidričevo,OSTALO,OSTALO
61,Kobarid,GORSKA,GORSKA
62,Kobilje,OSTALO,OSTALO
63,Komen,OSTALO,OSTALO
64,Komenda,OSTALO,OSTALO
65,Koper/Capodistria,OBMORSKA,OBMORSKA
66,Kostanjevica na Krki,OSTALO,OSTALO
67,Kostel,OSTALO,OSTALO
68,Kozje,OSTALO,OSTALO
69,Kočevje,OSTALO,OSTALO
70,Kranj,MESTNA,MESTNA
71,Kranjska Gora,GORSKA,GORSKA
72,Križevci,OSTALO,OSTALO
73,Krško,OSTALO,OSTALO
74,Kungota,OSTALO,OSTALO
75,Kuzma,OSTALO,OSTALO
76,Laško,OSTALO,OSTALO
77,Lenart,OSTALO,OSTALO
78,Lendava/Lendva,OSTALO,OSTALO
79,Litija,OSTALO,OSTALO
80,Ljubljana,MESTNA,MESTNA
81,Ljubno,OSTALO,OSTALO
82,Ljutomer,OSTALO,OSTALO
83,Log - Dragomer,OSTALO,OSTALO
84,Logatec,OSTALO,OSTALO
85,Lovrenc na Pohorju,OSTALO,OSTALO
86,Loška dolina,OSTALO,OSTALO
87,Loški Potok,OSTALO,OSTALO
88,Lukovica,OSTALO,OSTALO
89,Luče,OSTALO,OSTALO
90,Majšperk,OSTALO,OSTALO
91,Makole,OSTALO,OSTALO
92,Maribor,MESTNA,MESTNA
93,Markovci,OSTALO,OSTALO
94,Medvode,OSTALO,OSTALO
95,Mengeš,OSTALO,OSTALO
96,Metlika,OSTALO,OSTALO
97,Mežica,OSTALO,OSTALO
98,Miklavž na Dravskem polju,OSTALO,OSTALO
99,Miren - Kostanjevica,OSTALO,OSTALO
100,Mirna,OSTALO,OSTALO
101,Mirna Peč,OSTALO,OSTALO
102,Mislinja,OSTALO,OSTALO
103,Mokronog - Trebelno,OSTALO,OSTALO
104,Moravske Toplice,OSTALO,OSTALO
105,Moravče,OSTALO,OSTALO
106,Mozirje,OSTALO,OSTALO
107,Murska Sobota,OSTALO,OSTALO
108,Muta,OSTALO,OSTALO
109,Naklo,OSTALO,OSTALO
110,Nazarje,OSTALO,OSTALO
111,Nova Gorica,OSTALO,OSTALO
112,Novo mesto,MESTNA,MESTNA
113,Odranci,OSTALO,OSTALO
114,Oplotnica,OSTALO,OSTALO
115,Ormož,OSTALO,OSTALO
116,Osilnica,OSTALO,OSTALO
117,Pesnica,OSTALO,OSTALO
118,Piran/Pirano,OBMORSKA,OBMORSKA
119,Pivka,OSTALO,OSTALO
120,Podlehnik,OSTALO,OSTALO
121,Podvelka,OSTALO,OSTALO
122,Podčetrtek,OSTALO,OSTALO
123,Poljčane,OSTALO,OSTALO
124,Polzela,OSTALO,OSTALO
125,Postojna,OSTALO,OSTALO
126,Prebold,OSTALO,OSTALO
127,Preddvor,OSTALO,OSTALO
128,Prevalje,OSTALO,OSTALO
129,Ptuj,OSTALO,OSTALO
130,Puconci,OSTALO,OSTALO
131,Radenci,OSTALO,OSTALO
132,Radeče,OSTALO,OSTALO
133,Radlje ob Dravi,OSTALO,OSTALO
134,Radovljica,OSTALO,OSTALO
135,Ravne na Koroškem,OSTALO,OSTALO
136,Razkrižje,OSTALO,OSTALO
137,Rače - Fram,OSTALO,OSTALO
138,Renče - Vogrsko,OSTALO,OSTALO
139,Rečica ob Savinji,OSTALO,OSTALO
140,Ribnica,OSTALO,OSTALO
